GENUS;SPECIES;SPECNO;FULL_SPECIES;JAAR;BRON;HER_COOR;AMERSX;AMERSY;HOKX;X_Round;Y_Round;X_Y_COOR;check
Bombus;jonellus;595;Bombus_jonellus;2005;3;3;15;377;1;15;377;15377;0
Bombus;lapidarius;596;Bombus_lapidarius;2005;3;3;15;377;1;15;377;15377;0
Bombus;lucorum;597;Bombus_lucorum;2005;3;3;15;377;1;15;377;15377;0
Bombus;pascuorum;600;Bombus_pascuorum;2005;3;3;15;377;1;15;377;15377;0
Bombus;pratorum;602;Bombus_pratorum;2007;3;3;15;377;1;15;377;15377;0
Bombus;ruderarius;603;Bombus_ruderarius;2005;3;3;15;377;1;15;377;15377;0
Bombus;terrestris;608;Bombus_terrestris;2005;3;3;15;377;1;15;377;15377;0
Coelioxys;mandibularis;731;Coelioxys_mandibularis;2005;2;3;15;377;1;15;377;15377;0
Colletes;daviesanus;618;Colletes_daviesanus;2003;3;3;15;377;1;15;377;15377;0
Colletes;fodiens;619;Colletes_fodiens;2005;3;3;15;377;1;15;377;15377;0
Colletes;halophilus;620;Colletes_halophilus;2007;2;3;15;377;1;15;377;15377;0
Dasypoda;hirtipes;774;Dasypoda_hirtipes;2005;3;3;15;377;1;15;377;15377;0
Halictus;tumulorum;658;Halictus_tumulorum;2007;2;3;15;377;1;15;377;15377;0
Hylaeus;communis;628;Hylaeus_communis;2007;2;3;15;377;1;15;377;15377;0
Lasioglossum;calceatum;672;Lasioglossum_calceatum;2005;2;3;15;377;1;15;377;15377;0
Lasioglossum;leucozonium;662;Lasioglossum_leucozonium;2005;2;3;15;377;1;15;377;15377;0
Lasioglossum;sexnotatum;667;Lasioglossum_sexnotatum;2005;3;3;15;377;1;15;377;15377;0
Megachile;ligniseca;750;Megachile_ligniseca;2007;2;3;15;377;1;15;377;15377;0
Megachile;willughbiella;754;Megachile_willughbiella;2005;3;3;15;377;1;15;377;15377;0
Nomada;flava;556;Nomada_flava;2007;2;3;15;377;1;15;377;15377;0
Nomada;signata;580;Nomada_signata;2007;2;3;15;377;1;15;377;15377;0
Osmia;rufa;763;Osmia_rufa;2007;3;3;15;377;1;15;377;15377;0
Andrena;barbilabris;456;Andrena_barbilabris;2006;2;3;15;378;1;15;378;15378;0
Anthophora;plumipes;530;Anthophora_plumipes;2009;3;3;15;378;1;15;378;15378;0
Bombus;pascuorum;600;Bombus_pascuorum;2006;2;3;15;378;1;15;378;15378;0
