"GENUS" "SPECIES" "SPECNO" "FULL_SPECIES" "X_Round" "Y_Round" "X_Y_COOR" "X_ArcGIS" "Y_ArcGIS" "Heriades_truncorum" "Lasioglossum_sexstrigatum" "Osmia_rufa" "Apis_mellifera" "Bombus_pascuorum" "Bombus_terrestris" "Bombus_pratorum" "Andrena_haemorrhoa" "Andrena_nitida" "Anthophora_plumipes" "Bombus_lapidarius" "Lasioglossum_calceatum" "Bombus_lucorum" "Dasypoda_hirtipes" "Lasioglossum_morio" "Andrena_cineraria" "Andrena_dorsata" "Andrena_flavipes" "Colletes_fodiens" "Halictus_rubicundus" "Halictus_tumulorum" "Hylaeus_communis" "Hylaeus_confusus" "Hylaeus_hyalinatus" "Lasioglossum_leucozonium" "Lasioglossum_villosulum" "Megachile_centuncularis" "Nomada_flava" "Nomada_fucata" "Sphecodes_monilicornis" "Andrena_carantonica" "Andrena_subopaca" "Andrena_vaga" "Nomada_marshamella" "Nomada_ruficornis" "Andrena_barbilabris" "Bombus_hypnorum" "Andrena_bicolor" "Bombus_campestris" "Bombus_hortorum" "Colletes_daviesanus" "Megachile_willughbiella" "Sphecodes_albilabris" "Andrena_chrysosceles" "Andrena_clarkella" "Andrena_ventralis" "Andrena_fulva" "Anthidium_manicatum" "Colletes_cunicularius" "Lasioglossum_pauxillum" "Nomada_flavoguttata" "Nomada_succincta" "Sphecodes_pellucidus" "Macropis_europaea" "Nomada_fabriciana" "Nomada_goodeniana" "Andrena_minutula" "Nomada_alboguttata" "Nomada_lathburiana" "Panurgus_calcaratus"
"Heriades" "truncorum" 734 "Heriades_truncorum" 152 452 152452 152500 452500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 154 449 154449 154500 449500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 156 365 156365 156500 365500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 157 364 157364 157500 364500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 160 381 160381 160500 381500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 160 445 160445 160500 445500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 164 442 164442 164500 442500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 166 404 166404 166500 404500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 166 444 166444 166500 444500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 168 441 168441 168500 441500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
