"CELL_ID" "X_ArcGIS" "Y_ArcGIS" "ED_total_6Classes" "Suitability" "ED_total_ManNat" "NumClasses_VEG_LU" "Mean_Patch_areaKm2_Veg_LU" "LUVEG_1" "LUVEG_2" "LUVEG_3" "LUVEG_4" "LUVEG_5" "LUVEG_6" "LUVEG_7" "LUVEG_8" "LUVEG_20" "LUVEG_30" "LUVEG_60"
100471 100500 471500.000000004 0.03185 77.9375 0.0181845018450184 10 0.133465784592823 0 3.5625 0.75 2.0625 3.375 10.875 3.875 0.1875 60 2.75 12.5625
100472 100500 472499.999999994 0.0355 79.375 0.0184202682563338 10 0.215074595543346 0 1.375 0.8125 2.375 1.0625 9.3125 6.75 0.75 61.4375 3.3125 12.8125
100473 100500 473499.999999999 0.0181 85.5 0.00704663212435233 9 0.461236922799423 0 0.625 0 0.1875 0.0625 11.6875 2.5 0.875 80.5625 1.5 2
100474 100500 474500.000000004 0.0409 77.3125 0.0125674740484429 11 0.157907693001443 0 2.3125 2.25 2.0625 0.6875 7.8125 8.4375 1.875 64.625 1.0625 7.5625
101383 101500 383499.999999996 0.05015 44.5 0.0141207697412077 12 0.0704721252382846 0.125 4.4375 1.875 3.125 8.125 33.625 8.5625 1.0625 33.1875 0.0625 5.75
101384 101500 384500 0.0583 62.3125 0.0137158469945355 11 0.0600463078817589 0 3.1875 2.625 1.25 4.625 18.875 11.125 0.75 47.9375 0.375 8.125
101385 101500 385500.000000005 0.0541 40 0.014412955465587 11 0.107596537472516 0.0625 3.8125 1.5625 3 6.375 38.125 10.1875 0.875 28.625 0.1875 7.1875
101386 101500 386499.999999996 0.03695 72.9375 0.00983476536682088 10 0.178375510620915 0 2.5 1.0625 0.9375 4 15.875 6.25 1 62.5625 0.4375 5.375
101387 101500 387500 0.0448 41.5 0.0146334902488231 11 0.0993043154761905 0 4.4375 2.25 3.125 3.75 40.3125 6.8125 0.5625 31.375 0.25 5.875
101388 101500 388500.000000005 0.0723 30.8125 0.0270664928292047 11 0.0439979395146675 0 20.5 1.3125 28.3125 8.375 15.4375 10.125 0.6875 11.0625 0.75 3.375
101389 101500 389499.999999996 0.0505 48.1875 0.0196063492063492 10 0.0797201025143684 0 12.0625 1 23 5.75 15.8125 8.625 0.75 31.375 0.875 0.75
